# q_center_A^-1  mean_intensity  n_reflections
3.5572358224e-02 7.8551166667e+03 24
4.5713455462e-02 4.9216725714e+03 35
5.5854552701e-02 6.7678253061e+03 49
6.5995649939e-02 6.1612657576e+03 66
7.6136747178e-02 5.9249991667e+03 84
8.6277844416e-02 1.0879876733e+04 101
9.6418941655e-02 8.3250005224e+03 134
1.0656003889e-01 6.9293422436e+03 156
1.1670113613e-01 5.6529844974e+03 189
1.2684223337e-01 4.8820728436e+03 211
1.3698333061e-01 3.4153943701e+03 254
1.4712442785e-01 3.0060122917e+03 288
1.5726552509e-01 2.6400759283e+03 307
1.6740662232e-01 2.7864342400e+03 375
1.7754771956e-01 2.5501389776e+03 401
1.8768881680e-01 3.0704639103e+03 468
1.9782991404e-01 3.7612184583e+03 480
2.0797101128e-01 5.0700151259e+03 556
2.1811210852e-01 5.0324224671e+03 608
2.2825320576e-01 5.1942632979e+03 658
2.3839430299e-01 4.6417069972e+03 716
2.4853540023e-01 4.1070645560e+03 777
2.5867649747e-01 3.2362712845e+03 833
2.6881759471e-01 2.7364676778e+03 900
2.7895869195e-01 2.3147328265e+03 980
2.8909978919e-01 2.3150109862e+03 1014
2.9924088643e-01 1.8681693854e+03 1139
3.0938198366e-01 1.4196893606e+03 1173
3.1952308090e-01 1.2213440457e+03 1268
3.2966417814e-01 1.0591572523e+03 1332
3.3980527538e-01 8.0478289308e+02 1431
3.4994637262e-01 6.8457695822e+02 1532
3.6008746986e-01 5.6336879541e+02 1569
3.7022856709e-01 4.7720849762e+02 1684
3.8036966433e-01 4.1085686053e+02 1771
3.9051076157e-01 3.4385488051e+02 1883
4.0065185881e-01 2.8750668394e+02 1930
4.1079295605e-01 2.3215538499e+02 2078
4.2093405329e-01 2.0143628479e+02 2156
4.3107515053e-01 1.7032735307e+02 2297
4.4121624776e-01 1.3876395586e+02 2356
4.5135734500e-01 1.1317772014e+02 2487
4.6149844224e-01 8.6055648292e+01 2576
4.7163953948e-01 6.6109122095e+01 2711
4.8178063672e-01 4.8191594919e+01 2834
4.9192173396e-01 3.1300275672e+01 2902
5.0206283120e-01 2.0858929842e+01 3093
5.1220392843e-01 1.3363294982e+01 3129
5.2234502567e-01 8.0573975277e+00 3074
5.3248612291e-01 -5.8580778589e+00 1233
